GENE,REFSEQ_ID,UNIPROT_ID,AVE_SC,NUM_EXPT,CC405,CC406,CC410
ARCN1,NP_001135753;NP_001646,COPD_HUMAN,3,3,1,4,4
ARF1,NP_001019397;NP_001019398,ARF1_HUMAN,3,2,3,3,0
ARF3,NP_001650;XP_005268913,ARF3_HUMAN,3,2,3,3,0
ARF4,NP_001651,ARF4_HUMAN,5,2,3,7,0
ARF5,NP_001653,ARF5_HUMAN,2.5,2,2,3,0
ARG1,NP_000036;NP_001231367,ARGI1_HUMAN,2,1,0,2,0
ARHGAP42,NP_689645,RHG42_HUMAN,1,1,0,1,0
ARHGDIA,NP_001172006;NP_001172007,GDIR1_HUMAN,1,1,1,0,0
ARHGEF2,NP_001155855;NP_001155856,ARHG2_HUMAN,2,1,2,0,0
ARHGEF6,NP_004831;XP_005262554,ARHG6_HUMAN,1,1,0,0,1
ARPC4,NP_001020130;NP_001020131,ARPC4_HUMAN,1,2,1,1,0
ARPC4-TTLL3,NP_001185722;XP_005264839,--,1,2,1,1,0
ATAD2,NP_054828,ATAD2_HUMAN,4.33,3,8,3,2
ATAD2B,NP_001229267;NP_060022,ATD2B_HUMAN,2.33,3,3,2,2
ATAD3A,NP_001164006;NP_001164007,ATD3A_HUMAN,4,3,7,1,4
ATAD3B,NP_114127;XP_005244863,ATD3B_HUMAN,2.67,3,4,1,3
ATAD3C,NP_001034300;XP_005244793,ATD3C_HUMAN,2.5,2,2,0,3
ATF6B,NP_001129625;NP_004372,ATF6B_HUMAN,1,1,0,1,0
ATP12A,NP_001172014;NP_001667,AT12A_HUMAN,1,1,0,1,0
ATP1A1,NP_000692;NP_001153705,AT1A1_HUMAN,6.67,3,11,7,2
ATP1A2,NP_000693;XP_005245267,AT1A2_HUMAN,2,3,3,1,2
ATP1A3,NP_001243142;NP_001243143,AT1A3_HUMAN,2.67,3,4,2,2
ATP1A4,NP_001001734;NP_653300,AT1A4_HUMAN,1,1,0,1,0
ATP1B1,NP_001668;XP_005245270,AT1B1_HUMAN,1,1,0,0,1
ATP2A1,NP_004311;NP_775293,AT2A1_HUMAN,1.33,3,2,1,1
ATP2A2,NP_001672;NP_733765,AT2A2_HUMAN,3,3,3,4,2
ATP2A3,NP_005164;NP_777613,AT2A3_HUMAN,1,2,0,1,1
ATP4A,NP_000695,ATP4A_HUMAN,1.33,3,2,1,1
ATP5A1,NP_001001935;NP_001001937,ATPA_HUMAN,9.33,3,9,11,8
ATP5B,NP_001677,ATPB_HUMAN,9,3,4,12,11
ATP5C1,NP_001001973;NP_005165,ATPG_HUMAN,1.5,2,1,2,0
ATP5F1,NP_001679;XP_005270986,AT5F1_HUMAN,1,1,0,0,1
ATP5H,NP_001003785;NP_006347,ATP5H_HUMAN,1,1,0,1,0
ATP5O,NP_001688,ATPO_HUMAN,7,1,0,7,0
AUP1,NP_853553,AUP1_HUMAN,2,1,2,0,0
AURKA,NP_003591;NP_940835,AURKA_HUMAN,1.5,2,0,2,1
AURKAIP1,NP_001120701;NP_001120702,AKIP_HUMAN,3,1,3,0,0
AURKB,NP_001243763;NP_001271455,AURKB_HUMAN,12.33,3,2,17,18
AURKC,NP_001015878;NP_001015879,AURKC_HUMAN,2.5,2,0,2,3
AZGP1,NP_001176,ZA2G_HUMAN,5.5,2,2,9,0
BAG2,NP_004273;XP_005249547,BAG2_HUMAN,2.5,2,0,1,4
BAG3,NP_004272;XP_005270344,BAG3_HUMAN,1,1,0,0,1
BCL2L2-PABPN1,NP_001186793;XP_005268024,B2CL2_HUMAN,1,1,1,0,0
BIRC5,NP_001012270;NP_001012271,BIRC5_HUMAN,4.5,2,0,6,3
BLMH,NP_000377;XP_005258081,BLMH_HUMAN,1,1,0,1,0
BLVRB,NP_000704;XP_005259214,BLVRB_HUMAN,10,1,0,10,0
BOP1,NP_056016,BOP1_HUMAN,14.33,3,5,20,18
BPIFA1,NP_001230122;NP_057667,BPIA1_HUMAN,1,1,1,0,0
BPIFB1,NP_149974,BPIB1_HUMAN,1,1,1,0,0
BPTF,NP_004450;NP_872579,BPTF_HUMAN,1,1,1,0,0
BRAF,NP_004324;XP_005250102,BRAF_HUMAN,1,1,0,0,1
BRIX1,NP_060791,BRX1_HUMAN,11.33,3,23,7,4
BRWD1,NP_001007247;NP_061836,BRWD1_HUMAN,1,1,0,1,0
BUB3,NP_001007794;NP_004716,BUB3_HUMAN,1,2,0,1,1
C10orf2,NP_001157284;NP_001157285,PEO1_HUMAN,1,1,0,1,0
C14orf166,NP_057123,CN166_HUMAN,1,1,0,0,1
C1orf35,NP_077295,MMTA2_HUMAN,4.5,2,7,2,0
C9orf114,NP_057474,CI114_HUMAN,2,3,1,2,3
CALML5,NP_059118,CALL5_HUMAN,1,1,0,1,0
CALU,NP_001124146;NP_001186600,CALU_HUMAN,2,2,0,3,1
CAMK2D,NP_001212;NP_742112,KCC2D_HUMAN,1,1,0,1,0
CAMK2G,NP_001191421;NP_001213,KCC2G_HUMAN,1,1,0,0,1
CAND1,NP_060918,CAND1_HUMAN,3,1,3,0,0
CANX,NP_001019820;NP_001737,CALX_HUMAN,1,1,1,0,0
CAPN2,NP_001139540;NP_001739,CAN2_HUMAN,1,1,1,0,0
CAPZA1,NP_006126,CAZA1_HUMAN,1,3,1,1,1
CAPZA2,NP_006127,CAZA2_HUMAN,1,2,0,1,1
CASP14,NP_036246,CASPE_HUMAN,1,1,0,1,0
CAV1,NP_001166366;NP_001166367,CAV1_HUMAN,1,1,0,1,0
CBX1,NP_001120700;NP_006798,CBX1_HUMAN,4,3,2,4,6
CBX3,NP_009207;NP_057671,CBX3_HUMAN,5.33,3,2,4,10
CBX5,NP_001120793;NP_001120794,CBX5_HUMAN,5.5,2,0,1,10
CCAR1,NP_001269888;NP_001269889,CCAR1_HUMAN,1,2,0,1,1
CCDC13,NP_653320;XP_005264956,CCD13_HUMAN,1.5,2,0,2,1
CCDC47,NP_064583;XP_005257584,CCD47_HUMAN,1,3,1,1,1
CCDC59,NP_054886,TAP26_HUMAN,1,1,0,1,0
CCDC86,NP_077003,CCD86_HUMAN,1.5,2,0,1,2
CCT2,NP_001185771;NP_006422,TCPB_HUMAN,3,1,3,0,0
CCT3,NP_001008800;NP_005989,TCPG_HUMAN,2.5,2,3,0,2
CCT4,NP_001243650;NP_006421,TCPD_HUMAN,6,1,6,0,0
CCT5,NP_036205;XP_005248322,TCPE_HUMAN,1,1,1,0,0
CCT6A,NP_001009186;NP_001753,TCPZ_HUMAN,2,2,3,0,1
CCT7,NP_001009570;NP_001159756,TCPH_HUMAN,3,1,3,0,0
CCT8,NP_001269836;NP_001269837,TCPQ_HUMAN,4.5,2,8,1,0
CDC45,NP_001171481;NP_001171482,CDC45_HUMAN,1,1,0,1,0
CDC5L,NP_001244,CDC5L_HUMAN,1,1,1,0,0
CDCA8,NP_001243804;NP_060571,BOREA_HUMAN,16,3,7,22,19
CDK1,NP_001163877;NP_001163878,CDK1_HUMAN,2.5,2,3,2,0
CDK2,NP_001789;NP_439892,CDK2_HUMAN,1,2,1,1,0
CDK3,NP_001249;XP_005256980,CDK3_HUMAN,1,2,1,1,0
CDSN,NP_001255,CDSN_HUMAN,1,1,0,1,0
CEBPZ,NP_005751,CEBPZ_HUMAN,5.33,3,12,2,2
CERS2,NP_071358;NP_859530,CERS2_HUMAN,1,1,0,1,0
CFL1,NP_005498,COF1_HUMAN,2,1,2,0,0
CFL2,NP_001230574;NP_068733,COF2_HUMAN,1,1,1,0,0
CHMP1A,NP_001076783;NP_002759,CHM1A_HUMAN,1,2,0,1,1
CHMP2A,NP_055268;NP_940818,CHM2A_HUMAN,1,2,1,1,0
CHMP2B,NP_001231573;NP_054762,CHM2B_HUMAN,2,1,0,0,2
CHMP3,NP_001005753;NP_001180446,CHMP3_HUMAN,1.5,2,0,2,1
CHMP4A,NP_054888,CHM4A_HUMAN,1,1,0,1,0
CHMP4B,NP_789782,CHM4B_HUMAN,3.5,2,0,4,3
CHMP4C,NP_689497,CHM4C_HUMAN,1,1,0,1,0
CHMP5,NP_001182465;NP_057494,CHMP5_HUMAN,1,2,0,1,1
CHORDC1,NP_001137545;NP_036256,CHRD1_HUMAN,1,1,1,0,0
CHP1,NP_009167;XP_005254197,CHP1_HUMAN,1,1,0,1,0
CIRH1A,NP_116219;XP_005256261,CIR1A_HUMAN,2,1,0,0,2
CKAP4,NP_006816,CKAP4_HUMAN,1,1,1,0,0
CKAP5,NP_001008938;NP_055571,CKAP5_HUMAN,1,1,0,0,1
CLIP2,NP_003379;NP_115797,CLIP2_HUMAN,1,1,1,0,0
CLTC,NP_004850;XP_005257068,CLH1_HUMAN,9,1,9,0,0
CLTCL1,NP_001826;NP_009029,CLH2_HUMAN,1,1,1,0,0
CLU,NP_001822,CLUS_HUMAN,2.33,3,3,1,3
CMTM6,NP_060271,CKLF6_HUMAN,1,1,0,1,0
COG2,NP_001138508;NP_031383,COG2_HUMAN,1,1,0,1,0
COPA,NP_001091868;NP_004362,COPA_HUMAN,1.33,3,1,2,1
COPB2,NP_004757,COPB2_HUMAN,2.5,2,0,4,1
CPNE2,NP_689940,CPNE2_HUMAN,1,2,0,1,1
CPNE3,NP_003900;XP_005251150,CPNE3_HUMAN,1,2,0,1,1
CPNE4,NP_570720;XP_005247162,CPNE4_HUMAN,1,2,0,1,1
CPNE5,NP_065990;XP_005249304,CPNE5_HUMAN,1,2,0,1,1
CPNE6,NP_001267487;NP_006023,CPNE6_HUMAN,1,2,0,1,1
CPNE7,NP_055242;NP_705900,CPNE7_HUMAN,1,2,0,1,1
CPNE8,NP_705898;XP_005268725,CPNE8_HUMAN,1,2,0,1,1
CPNE9,NP_705899,CPNE9_HUMAN,1,2,0,1,1
CPSF1,NP_037423,CPSF1_HUMAN,1,1,0,1,0
CPSF3,NP_057291;XP_005246224,CPSF3_HUMAN,1,1,0,1,0
CRTAP,NP_006362;XP_003403813,CRTAP_HUMAN,1.5,2,0,1,2
CRYAB,NP_001876,CRYAB_HUMAN,3.33,3,5,4,1
CS,NP_004068;XP_005268719,CISY_HUMAN,1,1,1,0,0
CSE1L,NP_001243064;NP_001307,XPO2_HUMAN,4,3,8,3,1
CSRP1,NP_001180499;NP_001180500,CSRP1_HUMAN,1,1,1,0,0
CSTA,NP_005204,CYTA_HUMAN,3,1,0,3,0
CTNNA1,NP_001894;XP_005271954,CTNA1_HUMAN,2,1,0,2,0
CTNNA3,NP_001120856;NP_037398,CTNA3_HUMAN,1,1,0,1,0
CTNND1,NP_001078927;NP_001078928,CTND1_HUMAN,1,1,1,0,0
CTPS1,NP_001896;XP_005270592,PYRG1_HUMAN,2,2,3,0,1
CUL2,NP_001185706;NP_001185707,CUL2_HUMAN,1,1,0,1,0
CUL4A,NP_001008895;NP_001265442,CUL4A_HUMAN,16.67,3,4,25,21
CUL4B,NP_001073341;NP_003579,CUL4B_HUMAN,8.67,3,1,13,12
CYR61,NP_001545,CYR61_HUMAN,2,3,1,3,2
DAP3,NP_001186778;NP_001186779,RT29_HUMAN,3,1,0,3,0
DARS,NP_001340,SYDC_HUMAN,1,2,1,1,0
DCAF8,NP_056541,DCAF8_HUMAN,1,2,0,1,1
DCD,NP_444513;XP_005268684,DCD_HUMAN,13.67,3,12,18,11
DCDC1,NP_065920;NP_861523,DCDC1_HUMAN;DCDC5_HUMAN,4,1,0,0,4
DCTN1,NP_001128512;NP_001128513,DCTN1_HUMAN,1,1,1,0,0
DDB1,NP_001914;XP_005273861,DDB1_HUMAN,25.33,3,9,32,35
DDOST,NP_005207;XP_005245804,OST48_HUMAN,7,3,4,10,7
DDX1,NP_004930,DDX1_HUMAN,1,1,0,1,0
DDX17,NP_001091974;NP_006377,DDX17_HUMAN,2.67,3,2,4,2
DDX18,NP_006764,DDX18_HUMAN,17,3,6,24,21
DDX21,NP_001243839;NP_004719,DDX21_HUMAN,2.33,3,1,4,2
DDX23,NP_004809;XP_005269294,DDX23_HUMAN,1.5,2,0,2,1
DDX27,NP_060365,DDX27_HUMAN,14,3,2,27,13
DDX39A,NP_005795,DX39A_HUMAN,1,3,1,1,1
DDX39B,NP_004631;NP_542165,DX39B_HUMAN,1,3,1,1,1
DDX3X,NP_001180345;NP_001180346,DDX3X_HUMAN,3,3,1,2,6
DDX3Y,NP_001116137;NP_004651,DDX3Y_HUMAN,2.67,3,1,2,5
DDX4,NP_001136021;NP_001160005,DDX4_HUMAN,1,1,0,0,1
DDX41,NP_057306,DDX41_HUMAN,14.67,3,42,1,1
DDX47,NP_057439;NP_957518,DDX47_HUMAN,1,1,0,1,0
DDX5,NP_004387;XP_005257168,DDX5_HUMAN,5,3,5,4,6
DDX50,NP_076950;XP_005270205,DDX50_HUMAN,1.5,2,0,2,1
DDX54,NP_001104792;NP_076977,DDX54_HUMAN,4,3,4,5,3
DDX56,NP_001244118;NP_061955,DDX56_HUMAN,4,3,7,2,3
DERL1,NP_001128143;NP_077271,DERL1_HUMAN,1,1,1,0,0
DES,NP_001918,DESM_HUMAN,7.33,3,11,6,5
DHCR24,NP_055577;XP_005270610,DHC24_HUMAN,1.5,2,2,1,0
DHCR7,NP_001157289;NP_001351,DHCR7_HUMAN,1,2,1,1,0
DHX15,NP_001349,DHX15_HUMAN,1,1,0,1,0
DHX30,NP_055781;NP_619520,DHX30_HUMAN,2,1,0,0,2
DHX35,NP_001177738;NP_068750,DHX35_HUMAN,2,1,2,0,0
DHX9,NP_001348,DHX9_HUMAN,1,1,1,0,0
DIMT1,NP_055288;XP_005248539,DIM1_HUMAN,1,2,1,1,0
DKC1,NP_001135935;NP_001354,DKC1_HUMAN,4,3,5,3,4
DLST,NP_001924,ODO2_HUMAN,2,1,2,0,0
DMBT1,NP_004397;NP_015568,DMBT1_HUMAN,1,1,1,0,0
DNAJA1,NP_001530;XP_005251502,DNJA1_HUMAN,10.67,3,6,11,15
DNAJA2,NP_005871,DNJA2_HUMAN,5.33,3,2,6,8
DNAJA3,NP_001128582;NP_005138,DNJA3_HUMAN,2,2,0,1,3
DNAJB1,NP_006136;XP_005259945,DNJB1_HUMAN,1,3,1,1,1
DNAJB11,NP_057390,DJB11_HUMAN,3,3,1,6,2
DNAJB12,NP_001002762;NP_060096,DJB12_HUMAN,2.5,2,0,4,1
DNAJB2,NP_001034639;NP_006727,DNJB2_HUMAN,2,1,0,2,0
DNAJC10,NP_061854,DJC10_HUMAN,3,3,1,3,5
DNAJC9,NP_056005,DNJC9_HUMAN,1,2,0,1,1
DNMT3A,NP_072046;NP_715640,DNM3A_HUMAN,5,2,0,3,7
DPM1,NP_003850;XP_005260657,DPM1_HUMAN,1.5,2,0,1,2
DPYSL3,NP_001184223;NP_001378,DPYL3_HUMAN,1,1,0,0,1
DSC1,NP_004939;NP_077739,DSC1_HUMAN,15,1,0,15,0
DSC2,NP_004940;NP_077740,DSC2_HUMAN,1,1,0,1,0
DSC3,NP_001932;NP_077741,DSC3_HUMAN,3,1,0,3,0
DSG1,NP_001933,DSG1_HUMAN,9.5,2,0,18,1
DSP,NP_001008844;NP_004406,DESP_HUMAN,3.5,2,0,6,1
DUSP3,NP_004081;XP_005257173,DUS3_HUMAN,1,1,0,1,0
DYNC1LI1,NP_057225;XP_005265255,DC1L1_HUMAN,1,1,0,0,1
DYNC1LI2,NP_006132;XP_005255888,DC1L2_HUMAN,1,1,0,1,0
EBNA1BP2,NP_001153408;NP_006815,EBP2_HUMAN,19.67,3,34,18,7
EBP,NP_006570;XP_005272639,EBP_HUMAN,1,2,1,1,0
ECE1,NP_001106818;NP_001106819,ECE1_HUMAN,1,1,1,0,0
EEF1A1,NP_001393;XP_005248723,EF1A1_HUMAN,21.67,3,29,18,18
EEF1A2,NP_001949,EF1A2_HUMAN,12.67,3,15,12,11
EEF1B2,NP_001032752;NP_001950,EF1B_HUMAN,1,2,1,0,1
EEF1D,NP_001123525;NP_001123527,EF1D_HUMAN,3.33,3,4,3,3
EEF1G,NP_001395,EF1G_HUMAN,2,3,1,2,3
EEF2,NP_001952,EF2_HUMAN,6,2,9,3,0
EFCAB5,NP_001138525;NP_940931,EFCB5_HUMAN,1,1,1,0,0
EFHB,NP_653316;XP_005264946,EFHB_HUMAN,1,1,1,0,0
EFTUD2,NP_001136077;NP_001245282,U5S1_HUMAN,7,3,6,8,7
EIF2AK2,NP_001129123;NP_001129124,E2AK2_HUMAN,1,1,0,0,1
EIF2B3,NP_001160060;NP_001248347,EI2BG_HUMAN,1,1,0,0,1
EIF2B5,NP_003898,EI2BE_HUMAN,1,1,0,0,1
EIF2S1,NP_004085;XP_005267447,IF2A_HUMAN,1,1,1,0,0
EIF3B,NP_001032360;NP_003742,EIF3B_HUMAN,2,1,2,0,0
EIF4A1,NP_001191439;NP_001407,IF4A1_HUMAN,4,2,7,1,0
EIF4A2,NP_001958;XP_005247238,IF4A2_HUMAN,3.5,2,6,1,0
EIF4A3,NP_055555,IF4A3_HUMAN,4,1,4,0,0
EIF4G1,NP_001181875;NP_001181876,IF4G1_HUMAN,3,1,3,0,0
EIF6,NP_001254739;NP_002203,IF6_HUMAN,6,2,0,5,7
ELAVL1,NP_001410;XP_005272518,ELAV1_HUMAN,1,2,1,1,0
ELP3,NP_001271149;NP_001271151,ELP3_HUMAN,3,1,3,0,0
EMD,NP_000108,EMD_HUMAN,4.33,3,4,5,4
ENO1,NP_001188412;NP_001419,ENOA_HUMAN,8.5,2,13,0,4
ENO2,NP_001966;XP_005253730,ENOG_HUMAN,1.5,2,2,0,1
ENO3,NP_001180432;NP_001967,ENOB_HUMAN,1.5,2,2,0,1
EPHA2,NP_004422;XP_005245808,EPHA2_HUMAN,1,1,0,0,1
EPPK1,NP_112598,--,1,1,1,0,0
EPRS,NP_004437;XP_005273143,SYEP_HUMAN,1,1,1,0,0
EPX,NP_000493,PERE_HUMAN,1,1,1,0,0
ERC1,NP_829883;NP_829884,RB6I2_HUMAN,1,1,1,0,0
ERLIN1,NP_001094096;NP_006450,ERLN1_HUMAN,1,2,1,1,0
ERLIN2,NP_001003790;NP_001003791,ERLN2_HUMAN,1,2,1,1,0
ERP29,NP_001029197;NP_006808,ERP29_HUMAN,1,3,1,1,1
ESYT1,NP_001171725;NP_056107,ESYT1_HUMAN,1,1,1,0,0
EXOC4,NP_001032203;NP_068579,EXOC4_HUMAN,1,1,1,0,0
EZR,NP_001104547;NP_003370,EZRI_HUMAN,3.33,3,8,1,1
FABP5,NP_001435,FABP5_HUMAN,2,1,0,2,0
FAF2,NP_055428,FAF2_HUMAN,1.5,2,2,1,0
FAM111A,NP_001135991;NP_001135992,F111A_HUMAN,1,2,1,0,1
FAM98A,NP_056290;XP_005264307,FA98A_HUMAN,1,1,0,0,1
FANCD2,NP_001018125;NP_149075,FACD2_HUMAN,1,1,1,0,0
FANCI,NP_001106849;NP_060663,FANCI_HUMAN,1,1,1,0,0
FAU,NP_001988,RS30_HUMAN;UBIM_HUMAN,1.67,3,3,1,1
FBL,NP_001427;XP_005258708,FBRL_HUMAN,3,2,0,5,1
FIGNL1,NP_001036227;NP_071399,FIGL1_HUMAN,1,2,0,1,1
FKBP4,NP_002005;XP_005253732,FKBP4_HUMAN,2,1,2,0,0
FLG,NP_002007,FILA_HUMAN,1,1,0,1,0
FLG2,NP_001014364,FILA2_HUMAN,5,2,0,6,4
FLNA,NP_001104026;NP_001447,FLNA_HUMAN,3.5,2,0,2,5
FLNB,NP_001157789;NP_001157790,FLNB_HUMAN,2,3,3,2,1
FLNC,NP_001120959;NP_001449,FLNC_HUMAN,12,2,0,12,12
FSCN1,NP_003079;XP_005249884,FSCN1_HUMAN,2,1,2,0,0
FTSJ3,NP_060117,SPB1_HUMAN,12,3,18,11,7
G3BP1,NP_005745;NP_938405,G3BP1_HUMAN,1,1,1,0,0
G6PD,NP_000393;NP_001035810,G6PD_HUMAN,7,1,7,0,0
GADD45GIP1,NP_443082,G45IP_HUMAN,2.33,3,1,1,5
GANAB,NP_001265121;NP_001265122,GANAB_HUMAN,2,2,3,0,1
GAPDH,NP_001243728;NP_002037,G3P_HUMAN,7.67,3,18,4,1
GAPDHS,NP_055179,G3PT_HUMAN,1,2,1,1,0
GAR1,NP_061856;NP_127460,GAR1_HUMAN,1,1,0,1,0
GCOM1,NP_001018100;NP_001018101,--,1,1,0,0,1
GEMIN4,NP_056536;XP_005256724,GEMI4_HUMAN,2.5,2,4,0,1
GFAP,NP_001124491;NP_001229305,GFAP_HUMAN,1,2,0,1,1
GGCX,NP_000812;NP_001135741,VKGC_HUMAN,1,1,1,0,0
GLRX,NP_001112362;NP_001230587,GLRX1_HUMAN,1,1,0,1,0
GLS,NP_001243239;NP_055720,GLSK_HUMAN,2,1,2,0,0
GNAI1,NP_001243343;NP_002060,GNAI1_HUMAN,1,1,0,1,0
GNAI2,NP_001159897;NP_001269546,GNAI2_HUMAN,1,1,0,1,0
GNAI3,NP_006487,GNAI3_HUMAN,1,1,0,1,0
GNAL,NP_001135811;NP_001248372,GNAL_HUMAN,1,1,0,1,0
GNAO1,NP_066268;NP_620073,GNAO_HUMAN,1,1,0,1,0
GNAS,NP_000507;NP_001070956,ALEX_HUMAN;GNAS1_HUMAN,1,1,0,1,0
GNAT1,NP_000163;NP_653082,GNAT1_HUMAN,1,1,0,1,0
GNAT2,NP_005263,GNAT2_HUMAN,1,1,0,1,0
GNAT3,NP_001095856,GNAT3_HUMAN,1,1,0,1,0
GNB2L1,NP_006089;XP_005265848,GBLP_HUMAN,3.5,2,3,4,0
GNL2,NP_037417,NOG2_HUMAN,4,2,5,3,0
GNL3,NP_055181;NP_996561,GNL3_HUMAN,22.33,3,63,2,2
GOT2,NP_002071;XP_005255951,AATM_HUMAN,1,1,1,0,0
GPC1,NP_002072,GPC1_HUMAN,4.67,3,4,3,7
GPC4,NP_001439;XP_005262455,GPC4_HUMAN,4.33,3,2,7,4
GPC6,NP_005699;XP_005254074,GPC6_HUMAN,3.33,3,1,6,3
GPI,NP_000166;NP_001171651,G6PI_HUMAN,1,1,1,0,0
GPN1,NP_001138519;NP_001138520,GPN1_HUMAN,1,1,0,1,0
GRPEL1,NP_079472,GRPE1_HUMAN,1,1,0,0,1
GSN,NP_000168;NP_001121134,GELS_HUMAN,1,1,0,1,0
GSTP1,NP_000843;XP_005274015,GSTP1_HUMAN,4,1,4,0,0
GTF3C4,NP_036336,TF3C4_HUMAN,1,1,0,0,1
GTPBP4,NP_036473;XP_005252494,NOG1_HUMAN,5.33,3,10,3,3
H1F0,NP_005309,H10_HUMAN,28.33,3,71,8,6
H1FX,NP_006017,H1X_HUMAN,6.67,3,7,8,5
H2AFJ,NP_808760,H2AJ_HUMAN,65.67,3,80,56,61
H2AFV,NP_036544;NP_619541,H2AV_HUMAN,41.67,3,36,51,38
H2AFX,NP_002096,H2AX_HUMAN,36.67,3,44,34,32
H2AFY,NP_001035248;NP_004884,H2AY_HUMAN,28,3,41,32,11
H2AFY2,NP_061119,H2AW_HUMAN,14.67,3,23,14,7
H2AFZ,NP_002097,H2AZ_HUMAN,41.67,3,36,51,38
H3F3A,NP_002098,H33_HUMAN,21,3,13,30,20
H3F3B,NP_005315,H33_HUMAN,21,3,13,30,20
H3F3C,NP_001013721,H3C_HUMAN,15.67,3,5,26,16
HAX1,NP_001018238;NP_006109,HAX1_HUMAN,2,1,0,2,0
HBB,NP_000509,HBB_HUMAN,2,2,0,3,1
HBD,NP_000510,HBD_HUMAN,1.5,2,0,2,1
HBE1,NP_005321,HBE_HUMAN,1.5,2,0,2,1
HBG1,NP_000550,HBG1_HUMAN,1.5,2,0,2,1
HBG2,NP_000175,HBG2_HUMAN,1.5,2,0,2,1
HDAC1,NP_004955;XP_005270848,HDAC1_HUMAN,1.67,3,2,1,2
HDAC2,NP_001518,HDAC2_HUMAN,2,3,3,1,2
HEATR1,NP_060542,HEAT1_HUMAN,1,2,0,1,1
HELZ2,NP_001032412;NP_208384,HELZ2_HUMAN,1,1,1,0,0
HIP1R,NP_003950;XP_005253684,HIP1R_HUMAN,1,1,1,0,0
HIST1H1A,NP_005316,H11_HUMAN,16,3,19,18,11
HIST1H1B,NP_005313,H15_HUMAN,1,1,0,1,0
HIST1H1C,NP_005310,H12_HUMAN,24,3,26,27,19
HIST1H1D,NP_005311,H13_HUMAN,23.67,3,26,26,19
HIST1H1E,NP_005312,H14_HUMAN,23.67,3,26,26,19
HIST1H1T,NP_005314,H1T_HUMAN,13,3,15,14,10
HIST1H2AA,NP_734466,H2A1A_HUMAN,36,3,42,34,32
HIST1H2AB,NP_003504,H2A1B_HUMAN,62.67,3,76,52,60
